erityissairaanhoito	spesiálabuohccedikšu			earenoamášbuohccedikšu, sierranasbuohccedikšu				
erityistuki	earenoamášdoarjja			earáliiggášdoarjja, sierranasdoarjja				
eroottinen	erotihkalaš			sohkabealát dovdduide čuohccevaš				
este	árru			eastta, hehttehus				
esteetön	áruheapmi			ároheapmi (attr. árohis), easttaheapmi, heađušmeahttun, heađuškeahtes				
esto	caggaseapmi			"eastu"				
estoinen	caggasuvvan			"esttolaš"				
estolääkitys	eastadandálkkodeapmi							
etikkasäilykkeet	ettetseilosat							
etuhammas	ovdabátni							dens incisivus
etummainen ranneside	ovddabeale giehtaruohtasčanas							retinaculum flexorum
etunojapunnerrus	njoaskutlovttahus 							
eturauhanen	ovdaráksá							prostata
eturauhassyöpä	ovdaráksáboras 			ovdaráksásonahat				prostatis
etusormi	čuvdi			čužot				
etäpesäke, metastaasi	gáiddusbeasáš			metastása				metastasis
farmakologia	farmakologiija			dálkkasávnnasoahppa, -oahppu				
farmaseutti	farmasevta	farmasøyt						
farmasia	farmasiija			dálkkasgárvvistanoahppa, apteaikasuorgi				
fibroosi	fibrosa			čanasgođđuluvvan				
finni	čihkalas	kvise, hudfinne		nárán, náráš, náránaš				
finni, märkänäppy	čivhli	hudpustel		nággi, rušmmas				
fissuura, peräaukon kivulias haavauma	fissuvra							
flunssa	nuorvvofeber							
fysikaalinen	fysikála							
fysiologinen	fysiologalaš	fysiologisk						
fysioterapeutti	fysioterapevta	fysioterapeut		fysioterapeuhta				
fysioterapia	fysioterapiija	fysioterapi						
fyysinen, ruumillinen	fysalaš			rumašlaš				
geneerinen	generalaš	generisk		seammavuđot				
geneerinen vaihtoehto	generalaš dálkkaslonuheapmi	generisk bytte		seammavuđot dálkasa lonuheapmi				
genotyyppi	genotyhpa			árbedagaldat				
geriatria	geriatriija			boarrásiiddutkanoahppa, boarrásiiddikšunoahppu				
glukoosi	glukosa	glukose		heđensohkar, varrasohkar				
gluteiini	gluteiidna	glutein		gordnevielgadas				
gynekologi	gynekologa			nissondávddaiddoavttir				
gynekologia	gynekologiija			nissondávddaidoahppa, nissondávdaoahppu				
haavatukko	skuvdu			duhkku, spintu				
haavoittuvuus (psyk.)	raššodat			raššivuohta, gierdameahttunvuohta				
haima	čoavječolgaráksá	bukspyttkjertel		vuovdačolgaráksá				pancreas
haimatulehdus	vuovdačolgaráksávuolši	bukspyttkjertelbetennelse						pancreatitis
haitallinen	vahátlaš							
haja-asutusluonteinen	bieđggoássanlágan			vuorjeássanlunddot				
hajauttaa	lávdadahttit			vuorjudit, sierranahttit?				
hajuton	hájaheapmi	luktfri		háissokeahtes				inodoratus
hallinta	hoalda			hálddašeapmi				
hallintotuomioistuin	hálddahusduopmostuollu			hálddahusriekti				
haltija	hálddašeaddji							
haltuunottokatselmus	hálduiváldindárkkisteapmi			hálduiváldingoziheapmi, -geahčaheapmi				
halukkuus, innokkuus	ealljárvuohta							
hallusinaatio	hállusinašuvdna			(áico)čádjádallan, čádjádus, čádjáduvvan				hallunicatio
halvaus	gáldnan	slag		ástan(dávda), gáldnanvihki				apopleksia
hammashoitaja	bátnedivššár							
hammashuolto	bátnefuolahus							
hammaskiille	bátnegarra	tannemalje		gearradas, bátneemálja				
hammaskivi	bátnegeađgi	tannsten						
hammaskuoppalisäke, hammasvalli	bátnečorru							processus alveolaris
hammasluu	bátnedákti							
hammaslääkäri	bátnedoavttir	tannlege						
